Sample_ID	JG_OTU	Group
ZDP_0752a	Zmm-LR-ACOM-usa-NM-1_s	ZMMLR
ZDP_0793a	Zmm-LR-ACOM-usa-NM-2	ZMMLR
ZDP_0612a	Zmm-LR-ALAZ-Per-JEQU	ZMMLR
ZDP_0602a	Zmm-LR-ALAZ-Per-MOCH	ZMMLR
ZDP_0581a	Zmm-LR-ALAZ-Per-PICS	ZMMLR
ZDP_0552a	Zmm-LR-ALAZ-Per-VIRU	ZMMLR
ZDP_0543a	Zmm-LR-ALEM-Per-TING	ZMMLR
ZDP_0042a	Zmm-LR-ALTI-Arg-HUMA	ZMMLR
ZDP_0121a	Zmm-LR-ALTI-Bol-CHUQ	ZMMLR
ZDP_0101b	Zmm-LR-ALTI-Bol-LAPA	ZMMLR
ZDP_0087a	Zmm-LR-ALTI-Bol-TACA	ZMMLR
ZDP_0033a	Zmm-LR-AMAG-Col-ANGO	ZMMLR
ZDP_0373b	Zmm-LR-AMAG-Col-BERR	ZMMLR
ZDP_0168a	Zmm-LR-AMAG-Col-COCO	ZMMLR
ZDP_0169a	Zmm-LR-AMAG-Col-POPA	ZMMLR
ZDP_0517b	Zmm-LR-AMRH-Per-HUAN-1	ZMMLR
ZDP_1098a	Zmm-LR-AMRH-Per-HUAN-2	ZMMLR
ZDP_0591a	Zmm-LR-AMRH-Per-SOND	ZMMLR
ZDP_0258a	Zmm-LR-AMRS-Els	ZMMLR
ZDP_0009a	Zmm-LR-ANCA-Per-CARH	ZMMLR
ZDP_0016a	Zmm-LR-ANCA-Per-CUZC	ZMMLR
ZDP_0010a	Zmm-LR-ANCA-Per-SHUP	ZMMLR
ZDP_0018a	Zmm-LR-ANCA-Per-SIHU	ZMMLR
ZDP_0647b	Zmm-LR-ANCH-Mex-CHIL	ZMMLR
ZDP_1064b	Zmm-LR-ANCH-Mex-IGUA	ZMMLR
ZDP_1053a	Zmm-LR-ANCH-Mex-SAND	ZMMLR
ZDP_1445b	Zmm-LR-ANCH-Mex-SANT	ZMMLR
ZDP_0163a	Zmm-LR-ANDA-Col-BELE-1	ZMMLR
ZDP_0164a	Zmm-LR-ANDA-Col-BELE-2	ZMMLR
ZDP_0166a	Zmm-LR-ANDA-Col-ELME	ZMMLR
ZDP_0839a	Zmm-LR-APCH-usa-AZ-1	ZMMLR
ZDP_0849a	Zmm-LR-APCH-usa-AZ-2	ZMMLR
ZDP_0858b	Zmm-LR-APCH-usa-AZ-3	ZMMLR
ZDP_0184b	Zmm-LR-APCT-Mex-AGUA	ZMMLR
ZDP_0179a	Zmm-LR-APCT-Mex-BASA	ZMMLR
ZDP_0180a	Zmm-LR-APCT-Mex-BOCO	ZMMLR
ZDP_1021a	Zmm-LR-APCT-Mex-EJID	ZMMLR
ZDP_0181a	Zmm-LR-APCT-Mex-ESTA	ZMMLR
ZDP_1004a	Zmm-LR-APCT-Mex-SANJ	ZMMLR
S1799	Zmm-LR-ARAG-Ven-ANZO-1	ZMMLR
ZDP_0856a	Zmm-LR-ARAG-Ven-ANZO-2	ZMMLR
ZDP_0915b	Zmm-LR-ARAG-Ven-ANZO-3_s	ZMMLR
ZDP_1194b	Zmm-LR-ARAG-Ven-ANZO-4	ZMMLR
ZDP_1476a	Zmm-LR-ARAG-Ven-ANZO-5	ZMMLR
ZDP_0935a	Zmm-LR-ARAG-Ven-MONA	ZMMLR
ZDP_0197a	Zmm-LR-ARAU-Chi-CAUT-1	ZMMLR
ZDP_0206a	Zmm-LR-ARAU-Chi-CAUT-2	ZMMLR
ZDP_0195a	Zmm-LR-ARAU-Chi-VICT	ZMMLR
ZDP_0051a	Zmm-LR-AREQ-Per-AREQ	ZMMLR
ZDP_0054a	Zmm-LR-AREQ-Per-COCA	ZMMLR
ZDP_0052a	Zmm-LR-AREQ-Per-CORI	ZMMLR
ZDP_0675b	Zmm-LR-ARGP-Arg-1	ZMMLR
ZDP_0791a	Zmm-LR-ARGP-Arg-2	ZMMLR
ZDP_0814a	Zmm-LR-ARGP-Arg-3	ZMMLR
ZDP_0122a	Zmm-LR-ARGT-Bol-CHUQ	ZMMLR
ZDP_0090a	Zmm-LR-ARGT-Bol-SANT	ZMMLR
ZDP_0083a	Zmm-LR-ARGT-Bol-TARI-1	ZMMLR
ZDP_0084a	Zmm-LR-ARGT-Bol-TARI-2	ZMMLR
ZDP_0061a	Zmm-LR-ARIZ-Per-BADO	ZMMLR
ZDP_0561a	Zmm-LR-ARIZ-Per-CHAO	ZMMLR
ZDP_0057a	Zmm-LR-ARIZ-Per-LURI	ZMMLR
ZDP_0570a	Zmm-LR-ARIZ-Per-VIRU	ZMMLR
ZDP_0899b	Zmm-LR-ARRO-Mex-ALTO	ZMMLR
ZDP_0888b	Zmm-LR-ARRO-Mex-ESTA	ZMMLR
ZDP_1104a	Zmm-LR-ARRO-Mex-PLAN-1	ZMMLR
ZDP_1162a	Zmm-LR-ARRO-Mex-PLAN-2	ZMMLR
S1579	Zmm-LR-ARRO-Mex-TEPI	ZMMLR
ZDP_0634a	Zmm-LR-ARRO-Mex-ZARA	ZMMLR
S1843	Zmm-LR-ASSI-usa-ND-1	ZMMLR
ZDP_0689b	Zmm-LR-ASSI-usa-ND-2	ZMMLR
ZDP_0733b	Zmm-LR-ASSI-usa-ND-3	ZMMLR
ZDP_0758b	Zmm-LR-ASSI-usa-ND-4	ZMMLR
ZDP_1003b	Zmm-LR-AVPI-Bra-1	ZMMLR
ZDP_1012a	Zmm-LR-AVPI-Bra-2	ZMMLR
ZDP_0640b	Zmm-LR-AVPI-Par	ZMMLR
ZDP_0153a	Zmm-LR-AVTP-Bra-1	ZMMLR
ZDP_0154a	Zmm-LR-AVTP-Bra-2	ZMMLR
ZDP_1020a	Zmm-LR-AVTP-Bra-3	ZMMLR
S1822	Zmm-LR-AYSU-Bol-CHUQ-1	ZMMLR
ZDP_0994a	Zmm-LR-AYSU-Bol-CHUQ-2	ZMMLR
ZDP_1208a	Zmm-LR-AYSU-Bol-CHUQ-3	ZMMLR
ZDP_1489a	Zmm-LR-AYSU-Bol-CHUQ-4	ZMMLR
ZDP_0123b	Zmm-LR-AYSU-Bol-POTO-1	ZMMLR
ZDP_1010a	Zmm-LR-AYSU-Bol-POTO-2	ZMMLR
ZDP_0001a	Zmm-LR-AZUL-Mex	ZMMLR
ZDP_0174a	Zmm-LR-AZUL-Mex-GOME	ZMMLR
ZDP_0178a	Zmm-LR-AZUL-Mex-GUER	ZMMLR
ZDP_1221b	Zmm-LR-AZUL-Mex-MATA-1	ZMMLR
ZDP_1481a	Zmm-LR-AZUL-Mex-MATA-2	ZMMLR
ZDP_0988a	Zmm-LR-AZUL-Mex-TOCO	ZMMLR
ZDP_0456a	Zmm-LR-BBLA-Ecu-CHIM	ZMMLR
ZDP_0368b	Zmm-LR-BBLA-Ecu-IMBA	ZMMLR
ZDP_0376a	Zmm-LR-BBLA-Ecu-LOJA	ZMMLR
BKN_003	Zmm-LR-BEAP-1_f	ZMMLR
BKN_004	Zmm-LR-BEAP-2_f	ZMMLR
ZDP_0396a	Zmm-LR-BHRD-Ecu	ZMMLR
ZDP_0417a	Zmm-LR-BHRD-Ecu-LOJA-1	ZMMLR
